database_name,query,difficulty,uuid,query_short,query_business,query_technical,query_short_related,query_business_related,query_technical_related,variant_index
bank_transaction_monitoring,"Показать последние 10 операций по счетам через канал ATM withdrawal с указанием номера счета, суммы, штата и даты операции, отсортировав их по дате операции по убыванию.",easy,b32fe8f6-8b43-4171-b21d-fdb3061f296a,"Скрипт для поиска 10 последних операций по каналу ATM withdrawal с выводом номера счета, суммы, штата и даты операции, отсортированных по дате операции по убыванию","Скрипт для поиска последних 10 операций по счетам, проведённых через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции и сортировкой по дате операции по убыванию.","Скрипт для формирования списка последних 10 операций по счетам, выполненных через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции, с сортировкой по дате операции по убыванию.","Скрипт для вывода последних 5 операций по счетам через канал POS-Walmart с указанием номера счета, суммы, штата и даты, отсортированных по дате операции по убыванию.","Для анализа активности клиентов по переводам через UPI получить список последних 5 транзакций с указанием номера счета, суммы, штата и даты операции, отсортированных по дате от последней к первой.","Отфильтровать таблицу операций по счетам по каналу «Net banking», отсортировать записи по дате операции в порядке убывания, ограничить выборку первыми 5 строками и вывести номер счета, сумму, штат и дату.",0
bank_transaction_monitoring,"Показать последние 10 операций по счетам через канал ATM withdrawal с указанием номера счета, суммы, штата и даты операции, отсортировав их по дате операции по убыванию.",easy,b32fe8f6-8b43-4171-b21d-fdb3061f296a,"Скрипт для поиска 10 последних операций по каналу ATM withdrawal с выводом номера счета, суммы, штата и даты операции, отсортированных по дате операции по убыванию","Скрипт для поиска последних 10 операций по счетам, проведённых через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции и сортировкой по дате операции по убыванию.","Скрипт для формирования списка последних 10 операций по счетам, выполненных через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции, с сортировкой по дате операции по убыванию.","Скрипт для показа последних 5 операций по счетам через канал Net banking с указанием номера счета, суммы, штата и даты операции, отсортированных по дате операции по убыванию.","Выгрузить последние транзакции по снятию наличных в банкоматах для анализа операционной нагрузки и выявления аномалий, включив номер счёта, сумму, регион и дату с сортировкой от самой поздней записи.","Вывести список из последних 10 записей по операциям, проведённым через канал ATM withdrawal, отфильтровать данные по этому каналу, включить в результат номер счёта, сумму операции, штат и дату, отсортировать записи по дате операции в порядке убывания и ограничить вывод первыми 10 строками.",1
bank_transaction_monitoring,"Показать последние 10 операций по счетам через канал ATM withdrawal с указанием номера счета, суммы, штата и даты операции, отсортировав их по дате операции по убыванию.",easy,b32fe8f6-8b43-4171-b21d-fdb3061f296a,"Скрипт для поиска 10 последних операций по каналу ATM withdrawal с выводом номера счета, суммы, штата и даты операции, отсортированных по дате операции по убыванию","Скрипт для поиска последних 10 операций по счетам, проведённых через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции и сортировкой по дате операции по убыванию.","Скрипт для формирования списка последних 10 операций по счетам, выполненных через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции, с сортировкой по дате операции по убыванию.","Скрипт для вывода 15 последних операций по каналу Net banking с номером счета, суммой и датой, отсортированных по дате по убыванию.","Выгрузить последние 5 транзакций по счетам, совершенных через POS-терминалы сети Walmart, с указанием номера счета, суммы операции, штата и даты, упорядоченные по дате от самой свежей к самой старой, для мониторинга розничных расходов клиентов.","Выбери из таблицы операций все записи по каналу POS-Walmart, выведи номер счёта, сумму, штат и дату, отсортируй по дате по убыванию и ограничь вывод 5 строками.",2
bank_transaction_monitoring,"Показать 10 последних операций по счетам со снятием средств через банкомат, указав номер счета, сумму, штат и дату операции.",easy,b2094dce-e9bd-4579-96ab-051499c415b9,"Скрипт для поиска 10 последних операций по счетам со снятием средств через банкомат с указанием номера счета, суммы, штата и даты операции.","Поиск 10 последних операций по счетам со снятием средств через банкомат с указанием номера счета, суммы, штата и даты операции.","Поиск 10 последних операций по счетам со снятием средств через банкомат, с выводом номера счета, суммы, штата и даты операции, отсортированных по дате операции в порядке убывания.",None,"Сформировать выгрузку последних 10 снятий наличных через банкоматы с указанием номера счета, суммы, штата и даты операции для контроля лимитов и выявления подозрительной активности.","Выбрать 10 последних операций с каналом ""POS-Walmart"", отсортировать по дате по убыванию, вывести номер счета, сумму, штат и дату.",0
bank_transaction_monitoring,"Показать 10 последних операций по счетам со снятием средств через банкомат, указав номер счета, сумму, штат и дату операции.",easy,b2094dce-e9bd-4579-96ab-051499c415b9,"Скрипт для поиска 10 последних операций по счетам со снятием средств через банкомат с указанием номера счета, суммы, штата и даты операции.","Поиск 10 последних операций по счетам со снятием средств через банкомат с указанием номера счета, суммы, штата и даты операции.","Поиск 10 последних операций по счетам со снятием средств через банкомат, с выводом номера счета, суммы, штата и даты операции, отсортированных по дате операции в порядке убывания.","Показать 5 последних переводов через UPI, указав номер счета, сумму, штат и дату.","Выгрузить последние 5 операций снятия наличных через банкоматы по всем счетам с указанием номера счета, суммы, региона и даты транзакции для оперативного мониторинга активности клиентов.","Из таблицы операций отфильтровать записи, где канал операции равен ""Net banking"" и сумма положительная, затем отсортировать по дате от новых к старым и взять первые 5 строк, вывести номер счета, сумму и дату операции.",1
bank_transaction_monitoring,"Показать 10 последних операций по счетам со снятием средств через банкомат, указав номер счета, сумму, штат и дату операции.",easy,b2094dce-e9bd-4579-96ab-051499c415b9,"Скрипт для поиска 10 последних операций по счетам со снятием средств через банкомат с указанием номера счета, суммы, штата и даты операции.","Поиск 10 последних операций по счетам со снятием средств через банкомат с указанием номера счета, суммы, штата и даты операции.","Поиск 10 последних операций по счетам со снятием средств через банкомат, с выводом номера счета, суммы, штата и даты операции, отсортированных по дате операции в порядке убывания.",Скрипт для вывода 10 последних снятий наличных через банкомат с номерами счетов и суммами,"Получить 7 последних транзакций по списанию через банковские чеки в штате Иллинойс с номерами счетов, суммами и датами.","Из таблицы операций отфильтровать записи по каналу POS-терминал, отсортировать их по дате операции в порядке убывания, ограничить вывод 15 строками и отобразить номер счета, сумму, штат и дату операции.",2
bank_transaction_monitoring,"Показать номера счетов, суммы, каналы и даты операций по счетам, где сумма операции меньше нуля, отсортировав их по дате операции по возрастанию.",easy,8fb4bda5-1a4e-4910-9d78-111cfccb4f84,"Скрипт для формирования списка номеров счетов, сумм, каналов и дат операций с отрицательной суммой, отсортированных по дате операции по возрастанию.","Скрипт для формирования списка операций по счетам с отрицательной суммой, включая номер счета, сумму, канал и дату операции, с упорядочиванием по дате проведения по возрастанию","Скрипт для формирования списка операций по счетам с отрицательной суммой, включая номер счета, сумму, канал и дату операции, с упорядочиванием результата по дате операции по возрастанию","Скрипт для вывода номеров счетов, сумм, каналов и дат операций, где сумма операции больше нуля, отсортированных по дате операции по убыванию.","Для контроля исходящих платежей клиентов подготовить выгрузку всех расходных операций (сумма меньше нуля) с указанием номера счета, суммы, канала и даты, отсортированную по дате операции по возрастанию.",None,0
bank_transaction_monitoring,"Показать номера счетов, суммы, каналы и даты операций по счетам, где сумма операции меньше нуля, отсортировав их по дате операции по возрастанию.",easy,8fb4bda5-1a4e-4910-9d78-111cfccb4f84,"Скрипт для формирования списка номеров счетов, сумм, каналов и дат операций с отрицательной суммой, отсортированных по дате операции по возрастанию.","Скрипт для формирования списка операций по счетам с отрицательной суммой, включая номер счета, сумму, канал и дату операции, с упорядочиванием по дате проведения по возрастанию","Скрипт для формирования списка операций по счетам с отрицательной суммой, включая номер счета, сумму, канал и дату операции, с упорядочиванием результата по дате операции по возрастанию",None,"Вывести все операции списания средств через банкоматы, включая номер счета, сумму, канал и дату, упорядочив записи по дате операции.","Вывести номера счетов, суммы, каналы и даты операций, где сумма операции больше 5000, отсортировав записи по возрастанию суммы операции.",1
bank_transaction_monitoring,"Показать номера счетов, суммы, каналы и даты операций по счетам, где сумма операции меньше нуля, отсортировав их по дате операции по возрастанию.",easy,8fb4bda5-1a4e-4910-9d78-111cfccb4f84,"Скрипт для формирования списка номеров счетов, сумм, каналов и дат операций с отрицательной суммой, отсортированных по дате операции по возрастанию.","Скрипт для формирования списка операций по счетам с отрицательной суммой, включая номер счета, сумму, канал и дату операции, с упорядочиванием по дате проведения по возрастанию","Скрипт для формирования списка операций по счетам с отрицательной суммой, включая номер счета, сумму, канал и дату операции, с упорядочиванием результата по дате операции по возрастанию","Скрипт для отображения номеров счетов, сумм и дат операций, проведенных через интернет-банкинг, отсортированных по убыванию суммы.","Для анализа наиболее крупных расходов клиентов сформировать отчёт по 10 наибольшим транзакциям с отрицательной суммой, с указанием номера счёта, суммы, канала и даты, отсортированных по убыванию суммы операции.","Вывести номера счетов, суммы, каналы и даты операций по счетам, где сумма операции больше нуля, отсортировав их по дате операции по убыванию.",2
bank_transaction_monitoring,"Показать 10 последних операций по счетам, проведённых через ATM withdrawal, с номером счета, суммой, штатом и датой операции, отсортировав по дате по убыванию.",easy,78078fe3-4ab3-43cd-8f5c-f4b8aa05ebed,"Скрипт для поиска 10 последних операций по счетам через ATM withdrawal с выводом номера счета, суммы, штата и даты операции, отсортированных по дате по убыванию","Поиск 10 последних операций по счетам, выполненных через канал ATM withdrawal, с выводом номера счета, суммы, штата и даты операции, отсортированных по дате в порядке убывания","Поиск 10 последних операций по счетам, выполненных через ATM withdrawal, с выводом номера счета, суммы, штата и даты операции, отсортированных по дате в порядке убывания.","Скрипт для вывода 5 последних операций через POS-Walmart с номером счёта, суммой, штатом и датой операции, отсортированных по дате по убыванию.","Для мониторинга использования банкоматов и пиковых нагрузок требуется подготовить выгрузку последних десяти операций снятия наличных с указанием номера счета, суммы, штата и даты, отсортированную от самой поздней к самой ранней.","Показать 5 последних операций по счетам, проведённых через Net banking, с номером счета, суммой, штатом и датой, отсортировав по дате по убыванию.",0
