database_name,query,difficulty,uuid
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для всех платежей на сумму больше 8.00, отсортировав их по сумме по убыванию.",easy,48311c49-4ade-408c-b1d9-99752bbc105d
sakila,"Показать 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортировав по сумме по убыванию",easy,1f20ef88-9279-4248-9373-dd67f628e895
sakila,"Показать 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.",easy,58d71401-2b79-4c01-aa27-d796ade816e6
sakila,"Показать 20 последних клиентских платежей на сумму более 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,bbfd055c-6f48-4e0c-ae14-d3d9255b5335
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по сумме по убыванию.",easy,0b31dac1-bbe8-4a24-b1f4-17d4289fcb7c
sakila,"Показать 10 самых крупных платежей клиентов с суммой выше 8.00, отсортировав их по сумме убыванию.",easy,97d5fa2e-22af-449d-b670-e2856abadeb9
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по сумме по убыванию.",easy,71c28807-ed2e-45ae-92e3-f28bf73e3332
sakila,"Показать 10 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа",easy,5f5b0bf9-0d88-4a6d-b2ff-75c698b26343
sakila,"Показать 10 последних платежей клиентов на сумму больше 8.00, выведя идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,c0ae57a0-0347-4034-b82e-49ec54ecea3e
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по дате платежа от новых к старым.",easy,3106ec8f-eb54-4d26-8acb-a05aa1e8d771
sakila,"Показать последние 20 клиентских платежей на сумму больше 9.00 с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их от новых к старым.",easy,4700c4c6-8291-4c71-ad76-9b2e5f0f38a4
sakila,"Показать 20 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию",easy,7dd87e0e-1a56-4abc-855d-dc7f5dc78799
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,c44e6641-c6a1-48ce-9032-2f72be70c8cf
sakila,"Показать 20 последних платежей клиентов на сумму более 9.00, отсортировав их по дате платежа от новых к старым.",easy,b61a4220-719a-48a6-bf52-a9901f2656e4
sakila,"Показать 20 последних платежей на сумму больше 8.00, отсортированных по дате платежа от новых к старым.",easy,413d8fd6-2cee-49af-bbf4-93718769afc4
sakila,"Показать 10 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их от самых новых к старым.",easy,57e8f8b0-5e44-4b94-b804-51b13e5bae76
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по дате платежа от новых к старым.",easy,1dcf38a1-a9a8-4a3b-94ee-0166b8be43f9
sakila,"Показать последние 20 платежей клиентов на сумму больше 9.00, отсортировав их по дате платежа от новых к старым.",easy,9db62415-30eb-4b68-93cc-7a4797b234c6
sakila,"Показать 20 самых крупных платежей клиентов с суммой выше 8.00, отсортировав их по сумме убывания для первичной проверки подозрительно крупных транзакций.",easy,04cf2729-c2b0-4a31-bf0c-2237950d7c22
sakila,"Показать 20 последних платежей клиентов на сумму больше 8 долларов с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по дате платежа от новых к старым.",easy,788c0598-c9ec-43b2-8cc9-e78fccb7641c
sakila,"Сформировать отчет для мониторинга подозрительной активности за июнь 2005 года: по каждому клиенту и сотруднику, принявшему платежи, показать количество платежей, общую сумму, средний платеж и отдельный признак риска, если у клиента было не менее 5 платежей за период или сумма платежей превысила 30.00.",medium,3aea5482-5e8a-42be-9898-216a936a48ab
sakila,"Для каждого активного клиента за июль 2005 года рассчитать количество платежей, общую и среднюю сумму операций, а также присвоить признак подозрительной активности, если платежей больше 10 или их суммарная сумма превышает 50.",medium,776919bd-829d-4585-98ca-6342b60fbf46
sakila,"Для каждого активного клиента за июнь 2005 года рассчитать количество платежей, общую сумму, средний и максимальный платёж, а также отметить как потенциально подозрительных тех клиентов, у которых более 10 операций или суммарная сумма платежей превышает 50.00, с выводом имени клиента и сотрудника, принявшего операции.",medium,fedff83e-4a10-4627-9909-0a97b232f7ae
sakila,"Сформировать отчет по клиентам за июль 2005 года: для каждого клиента показать имя, фамилию, количество платежей, общую сумму платежей, средний размер платежа и признак подозрительной активности, если за период было более 10 платежей или сумма платежей превысила 50.00.",medium,605ee2cc-3143-4d32-ba7c-f4ad88b950fd
sakila,"Показать клиентов, у которых за июнь 2005 года было более 10 платежей: вывести имя и фамилию клиента, количество платежей, общую сумму, средний размер платежа и количество платежей на сумму выше 8.00, сгруппировав данные по клиенту.",medium,d3c751b4-c452-4af3-8020-f442c8a31ae3
sakila,"За июль 2005 года по каждому клиенту и сотруднику, принявшему платежи, вывести количество платежей, общую сумму, средний платеж и признак подозрительной активности, если сумма платежей превышает 100 или было выполнено больше 15 платежей.",medium,ad40a2da-f48c-4d48-ad2d-c6f833a55201
sakila,"За июль 2005 года по каждому активному клиенту рассчитать количество платежных транзакций, общую и среднюю сумму платежей, число операций на сумму выше 8.00, связав платежи с клиентами и сотрудниками, и вывести только клиентов с общей суммой платежей более 50.00 или минимум тремя крупными операциями, добавив признак подозрительной активности.",medium,d3598384-5b3b-4064-874c-ea4efedd8967
sakila,"Найти клиентов, которые за июль 2005 года совершили более 10 платежей или оплатили суммарно больше 50, вывести их имя, фамилию, email, количество платежей, общую сумму, средний платёж и признак подозрительной активности по каждому клиенту.",medium,c2c1106d-1c0c-4b61-8e70-6c1a18b4ec61
sakila,"За июнь 2005 года по каждому клиенту вывести имя, фамилию, количество платежей, общую сумму платежей, средний размер платежа и число платежей на сумму 8.00 и выше, оставив только клиентов с общей суммой платежей более 50.00 или не менее чем тремя крупными платежами для выявления потенциально подозрительной активности.",medium,7f1e658a-a17b-4e0c-b8a0-703a56005c3e
sakila,"Найти клиентов, у которых за июнь 2005 года было более 10 платежей, рассчитать общую сумму платежей, средний чек и количество крупных операций свыше 8.00, сгруппировав данные по клиенту и сотруднику, проводившему платежи.",medium,d0f08def-66e3-4add-8c96-450bf991dc3e
sakila,"Выявить клиентов, у которых за июнь 2005 года было более 10 платежных операций, посчитать по каждому клиенту общее число транзакций, сумму платежей, средний чек и количество операций на сумму не менее 5.00, объединив платежи с данными клиентов и сотрудников, проводивших операции.",medium,db3fec35-756c-4d13-ae25-757b588028ce
